timestamp,open,high,low,close,volume
1736208060,102228,102228,102228,102228,0.00114705
1736208120,102214,102225,102214,102215,0.42548035
1736208180,102214,102220,102214,102220,0.24356262
1736208240,102214,102214,102163,102163,0.03850259
1736208300,102156,102168,102156,102168,0.02158
1736208360,102142,102146,102142,102143,0.72662627
1736208420,102045,102045,102017,102031,0.10714
1736208480,102053,102074,102053,102074,0.11107043
1736208540,102027,102052,102027,102052,0.23874876
1736208600,102073,102073,102073,102073,0.00095605
1736208660,102102,102102,102102,102102,0.0012088
1736208720,102083,102084,102083,102084,0.00667
1736208780,102087,102087,102087,102087,0.0233
1736208840,102086,102086,102079,102085,0.13184445
1736208900,102113,102113,102072,102081,0.33118475
1736208960,101997,102058,101997,102057,0.34046578
1736209020,102071,102071,102071,102071,0.0055
1736209080,102105,102143,102105,102143,0.17558264
1736209140,102147,102147,102131,102138,0.44795743
1736209200,102136,102136,102136,102136,0.0105
1736209260,102138,102138,102138,102138,0.00635
1736209320,102168,102208,102168,102205,0.0917
1736209380,102205,102205,102205,102205,0.0
1736209440,102258,102261,102258,102261,0.61437304
1736209500,102261,102261,102261,102261,0.0
1736209560,102175,102177,102175,102175,0.11338056
1736209620,102192,102266,102192,102266,0.02662714
1736209680,102273,102430,102273,102430,1.1247547
1736209740,102411,102457,102411,102429,2.12322419
1736209800,102362,102403,102362,102385,0.01149723
1736209860,102385,102385,102343,102343,0.04823
1736209920,102390,102411,102390,102411,0.0392
1736209980,102431,102431,102414,102416,0.14074285
1736210040,102419,102500,102405,102500,2.16176494
1736210100,102500,102760,102500,102649,5.41130206
1736210160,102734,102734,102550,102550,0.28703015
1736210220,102550,102550,102423,102453,0.11175622
1736210280,102530,102530,102508,102508,0.07511591
1736210340,102442,102442,102329,102329,0.73483415
1736210400,102342,102351,102196,102196,1.05311841
1736210460,102271,102271,102271,102271,0.00154672
1736210520,102220,102256,102220,102256,0.21691
1736210580,102230,102230,102188,102196,0.02088281
1736210640,102150,102150,102058,102088,1.34839242
1736210700,102116,102117,102096,102096,0.10653687
1736210760,102096,102103,102002,102002,0.08192484
1736210820,102067,102091,102067,102090,0.21292709
1736210880,102151,102189,102151,102189,0.02335587
1736210940,102204,102248,102204,102207,2.38757047
1736211000,102231,102243,102231,102243,0.41651313
1736211060,102243,102262,102241,102241,0.31371414
1736211120,102217,102217,102199,102208,0.29528754
1736211180,102246,102268,102246,102268,0.72002512
1736211240,102268,102268,102268,102268,0.0
1736211300,102260,102260,102140,102145,1.06039961
1736211360,102132,102132,102065,102065,0.133921
1736211420,102050,102051,102050,102051,0.00142296
1736211480,102072,102072,102072,102072,0.072054
1736211540,102080,102101,102080,102095,0.34797598
1736211600,102068,102121,102068,102119,0.64019903
1736211660,102025,102025,101985,101985,0.09832078
1736211720,101980,101980,101950,101950,0.00528869
1736211780,101915,101915,101868,101868,0.00686271
1736211840,101930,101956,101930,101956,0.00197803
1736211900,101932,101932,101913,101925,0.09228661
1736211960,101974,102031,101974,102031,0.00094664
1736212020,102052,102052,101996,101996,0.02872005
1736212080,101942,101942,101942,101942,0.17629478
1736212140,101950,101950,101950,101950,0.009
1736212200,101952,101952,101952,101952,0.17428857
1736212260,101890,101890,101890,101890,0.0248
1736212320,101890,101890,101890,101890,0.0
1736212380,101858,101858,101858,101858,15.48789912
1736212440,101858,101858,101858,101858,0.0
1736212500,101858,101858,101858,101858,0.0
1736212560,101912,101931,101912,101931,0.0225
1736212620,101931,101931,101931,101931,0.0
1736212680,101931,101931,101931,101931,0.0
1736212740,101931,101931,101931,101931,0.0
1736212800,101917,101917,101917,101917,0.0328
1736212860,101913,101945,101913,101945,0.63689877
1736212920,101954,101955,101954,101955,0.50893644
1736212980,101955,101955,101955,101955,0.0
1736213040,101940,101940,101940,101940,0.49038817
1736213100,101894,101894,101858,101858,4.03565522
1736213160,101858,101858,101810,101811,11.99222271
1736213220,101809,101809,101784,101797,1.47259275
1736213280,101774,101774,101773,101774,0.09415733
1736213340,101772,101772,101748,101748,1.13740842
1736213400,101748,101751,101738,101751,0.95246415
1736213460,101777,101777,101767,101767,0.31702
1736213520,101841,101847,101841,101847,0.00158346
1736213580,101830,101830,101784,101784,0.0672
1736213640,101797,101822,101797,101815,0.05611
1736213700,101778,101853,101777,101839,0.02377776
1736213760,101845,101845,101845,101845,0.00033559
1736213820,101815,101822,101815,101822,0.31073533
1736213880,101850,101850,101850,101850,0.17977118
1736213940,101910,101917,101900,101915,1.40509045
1736214000,101902,101996,101902,101996,0.58046856
1736214060,102000,102001,101980,101982,0.38432078
1736214120,102008,102021,102008,102021,0.47807876
1736214180,102005,102005,102005,102005,0.00298145
1736214240,102019,102035,102019,102035,0.24427015
1736214300,101976,101976,101958,101958,0.05350988
1736214360,101958,101999,101958,101999,0.49139607
1736214420,101994,101994,101994,101994,0.0004175
1736214480,102034,102041,102034,102041,0.54126072
1736214540,102041,102055,102041,102044,0.54259001
1736214600,102054,102054,102051,102051,0.06897173
1736214660,102051,102051,102051,102051,0.0
1736214720,102036,102036,102036,102036,0.00363
1736214780,102046,102046,102034,102034,0.07297858
1736214840,102036,102036,102016,102026,0.00292971
1736214900,101964,101964,101955,101955,0.00651338
1736214960,101926,101926,101887,101898,0.76286402
1736215020,101886,101886,101886,101886,0.0002
1736215080,101951,101951,101951,101951,0.00042
1736215140,101959,101971,101959,101968,0.26391917
1736215200,101997,102033,101997,102012,0.20119065
1736215260,101989,101989,101954,101977,0.26714774
1736215320,102015,102026,102015,102026,0.00124
1736215380,102042,102047,102032,102047,0.07963
1736215440,102059,102059,102023,102031,0.05489238
1736215500,102022,102022,101978,101978,0.524
1736215560,101941,101943,101931,101939,1.08327083
1736215620,101939,101939,101939,101939,0.0
1736215680,101974,101974,101974,101974,0.03246302
1736215740,101985,101985,101985,101985,0.00025
1736215800,102016,102023,102016,102023,0.01798357
1736215860,102007,102012,102007,102012,0.00334303
1736215920,102056,102056,102032,102032,0.02907063
1736215980,102032,102035,102030,102035,0.13658162
1736216040,102035,102035,102035,102035,0.055
1736216100,101993,102023,101987,102023,0.18839993
1736216160,102033,102053,102033,102049,0.28335599
1736216220,102043,102054,102043,102049,0.01023131
1736216280,102049,102049,102049,102049,0.0
1736216340,101997,102011,101997,101999,1.00222275
1736216400,101968,101993,101968,101993,0.00747222
1736216460,101996,102043,101996,102043,0.16230663
1736216520,102043,102043,102043,102043,0.0
1736216580,102013,102013,101983,101986,0.02446795
1736216640,101937,101937,101937,101937,0.00036559
1736216700,101935,101944,101935,101944,0.14049
1736216760,101946,101949,101938,101948,0.01736938
1736216820,101891,101891,101891,101891,0.00871
1736216880,101891,101891,101891,101891,0.0
1736216940,101891,101891,101891,101891,0.00018972
1736217000,101891,101891,101891,101891,0.0
1736217060,101857,101857,101853,101853,0.05351008
1736217120,101909,101909,101909,101909,0.00018843
1736217180,101864,101872,101864,101872,0.10768213
1736217240,101856,101856,101833,101833,0.04991921
1736217300,101833,101833,101833,101833,0.0
1736217360,101886,101886,101886,101886,0.00192126
1736217420,101892,101892,101881,101881,0.00361
1736217480,101881,101884,101844,101844,0.06547943
1736217540,101844,101848,101844,101848,0.00254033
1736217600,101881,101882,101879,101879,0.00159
1736217660,101879,101882,101871,101871,0.006
1736217720,101870,101870,101852,101852,0.01519631
1736217780,101838,101851,101838,101851,0.05391235
1736217840,101849,101849,101849,101849,0.00436
1736217900,101849,101849,101840,101843,0.186749
1736217960,101810,101874,101810,101869,0.11625771
1736218020,101826,101826,101817,101817,0.00610319
1736218080,101791,101791,101782,101782,0.02039915
1736218140,101787,101814,101787,101814,0.00351
1736218200,101776,101776,101776,101776,0.10349788
1736218260,101764,101764,101764,101764,0.00051098
1736218320,101738,101751,101737,101751,0.03016249
1736218380,101748,101748,101748,101748,0.0049
1736218440,101736,101736,101699,101699,1.94586645
1736218500,101714,101714,101711,101713,0.06070127
1736218560,101713,101713,101711,101711,0.00264769
1736218620,101716,101716,101716,101716,0.00066
1736218680,101716,101716,101716,101716,0.0
1736218740,101711,101711,101711,101711,0.00018
1736218800,101719,101719,101719,101719,0.00015
